slug,name,role,bio,avatar,badge,joined,social,services
alpredo-fx,Alpredo FX,Minecraft Cinematic Artist,"Hey, I'm Alpredo, a digital artist from Indonesia specializing in cinematic Minecraft artwork. I create character-focused visuals with dramatic lighting, clean compositions, and high-quality post-processing. Whether it's a YouTube thumbnail, wallpaper, poster, or custom artwork, my goal is to bring every Minecraft character to life with a unique cinematic style.",/assets/images/artists/alpredofx.webp,Founder,2026,"""{""""instagram"""":""""https://instagram.com/alpredofx"""",""""twitter"""":""""https://twitter.com/alpredof"""",""""discord"""":""""alpredofx"""",""""fiverr"""":""""https://www.fiverr.com/s/yvzBWdq"""",""""tiktok"""":""""https://tiktok.com/@alpredofx"""",""""youtube"""":""""https://youtube.com/@alpredofx"""",""""website"""":""""https://alpredo.com""""}""","""[""""Minecraft Artwork"""",""""YouTube Thumbnails"""",""""Posters""""]"""
aemiro,Aemiro,Adventure Storytelling,Aemiro adalah storyteller yang menghadirkan petualangan melalui karya-karyanya.,/assets/images/artists/aemiro.webp,new,2026,"""{""""instagram"""":""""https://instagram.com/aemiro"""",""""discord"""":""""aemiro"""",""""twitter"""":""""https://twitter.com/aemiro""""}""","""[""""storyboarding"""",""""concept-art""""]"""
acxd,ACXD,Designer,Seize The Day.,/assets/images/artists/kevin.webp,new,2026,"""{""""instagram"""":""""https://www.instagram.com/ac_xd.fx?igsh=ZnI0OXh6NXdvNml0""""}""","""[""""graphic-design"""",""""ui-ux""""]"""
steven,Steven,Architectural Artist,Steven adalah architectural artist yang fokus pada desain bangunan dan struktur megah.,/assets/images/artists/kenzo.png,new,2026,"""{""""instagram"""":""""https://instagram.com/steven"""",""""discord"""":""""steven""""}""","""[""""architectural-design""""]"""
